ZCTA5,Median Income 2000,Inflation Adjusted 2000,Median Income 2014,percent change,gentrified,autocustomization,autoloanproviders,autopartssupplies,barbers,barreclasses,bars,beergardens,bespoke,bikes,blowoutservices,bodyshops,bootcamps,breakfast_brunch,breweries,cafes,cocktailbars,coffee,coffeeroasteries,cyclingclasses,distilleries,divebars,dog_parks,doulas,empanadas,galleries,gyms,hairstylists,healthmarkets,homelessshelters,intlgrocery,juicebars,mexican,musicvenues,organic_stores,paintandsip,pawn,pets,pilates,publicart,pubs,skate_parks,tattoo,theater,thrift_stores,vapeshops,vegan,vegetarian,vintage,wine_bars,yoga
11212,"$20,839.00","$28,647.33","$28,146.00",-2%,,0,0,0,2,0,1,0,0,1,0,2,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0
11213,"$26,366.00","$36,245.29","$34,804.00",-4%,,0,0,1,4,0,0,0,0,1,1,1,0,0,0,2,2,6,0,0,0,0,0,0,0,0,2,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,1
11214,"$33,765.00","$46,416.68","$45,838.00",-1%,,0,1,2,13,0,2,0,0,0,1,3,0,0,0,3,0,16,0,0,0,0,0,0,0,1,6,3,2,0,0,3,6,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
11215,"$53,313.00","$73,289.28","$99,040.00",35%,,0,0,3,17,0,21,1,1,7,0,11,3,16,1,13,8,32,1,0,0,5,2,0,1,15,11,10,2,0,0,12,30,9,0,1,0,0,8,0,11,0,5,2,5,0,0,0,6,3,19
11216,"$25,135.00","$34,553.03","$45,566.00",32%,,0,0,1,9,0,8,0,0,2,1,1,0,8,0,7,5,23,0,0,0,1,0,0,0,3,3,8,3,1,0,9,5,3,1,0,0,0,1,0,1,0,4,1,0,0,1,0,5,2,3
11217,"$49,567.00","$68,139.66","$85,199.00",25%,,0,0,0,13,1,17,0,0,4,0,0,0,10,0,4,5,15,0,1,0,1,0,0,0,3,11,9,1,0,0,4,11,0,1,0,1,0,7,0,9,2,2,1,5,0,5,3,7,0,9
11218,"$36,432.00","$50,083.00","$54,441.00",9%,,0,0,3,7,0,4,0,0,1,0,9,3,9,0,6,3,15,0,0,0,1,1,0,0,0,4,2,2,0,0,2,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3
11219,"$26,648.00","$36,632.95","$35,083.00",-4%,,0,0,2,4,0,3,0,1,0,1,8,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11220,"$30,152.00","$41,449.89","$38,052.00",-8%,,0,1,6,10,0,3,0,0,0,0,2,1,2,0,6,0,29,0,0,0,2,1,0,0,2,2,2,2,0,1,0,34,0,0,0,0,0,0,0,2,0,3,0,4,0,0,0,0,0,0
11221,"$22,305.00","$30,662.64","$39,785.00",30%,Y,0,0,0,2,0,13,0,0,4,0,0,0,0,0,6,3,16,0,1,0,2,0,0,0,5,2,7,0,0,0,2,4,4,1,0,0,0,0,0,0,0,4,0,6,0,2,0,4,2,5
