category,business_id
healthmarkets,macro-vegetarian-sunnyside
healthmarkets,malik-ranch-nuts-san-francisco
healthmarkets,max-muscle-sports-nutrition-oregon-city
healthmarkets,max-muscle-sports-nutrition-portland-4
healthmarkets,max-muscle-sports-nutrition-tualatin-2
healthmarkets,may-wah-vegetarian-market-new-york-2
healthmarkets,mega-aid-pharmacy-brooklyn
healthmarkets,mezonos-maven-bakery-brooklyn
healthmarkets,mission-street-pantry-san-francisco
healthmarkets,monument-market-georgetown
healthmarkets,mostly-medicinals-nursury-portland
healthmarkets,mother-natures-health-store-austin
healthmarkets,mrs-greens-natural-market-new-york
healthmarkets,my-fit-foods-austin
healthmarkets,my-fit-foods-austin-2
healthmarkets,my-fit-foods-austin-3
healthmarkets,my-fit-foods-austin-4
healthmarkets,my-fit-foods-austin-5
healthmarkets,my-fit-foods-austin-9
healthmarkets,nabilas-health-foods-san-francisco
healthmarkets,namaskar-crown-heights
healthmarkets,natural-7-food-woodside
healthmarkets,natural-body-ozone-park-2
healthmarkets,natural-choice-distribution-oakland
healthmarkets,natural-foods-store-at-ohsu-portland
healthmarkets,natural-green-market-new-york
healthmarkets,natural-grocers-beaverton
healthmarkets,natural-grocers-vancouver
healthmarkets,natural-life-foods-orinda
healthmarkets,natural-market-portland-3
healthmarkets,natural-mart-portland
healthmarkets,natural-mart-portland-5
healthmarkets,natural-sensations-san-francisco
healthmarkets,naturally-healthy-health-food-store-brooklyn
healthmarkets,natures-best-foods-oakland
healthmarkets,natures-best-long-island-city
healthmarkets,natures-house-jersey-city
healthmarkets,natures-sunshine-health-center-castro-valley-2
healthmarkets,neils-natural-market-flushing
healthmarkets,nelson-associate-organic-health-food-m-market-and-pharmacy-brooklyn
healthmarkets,new-seasons-market-beaverton
healthmarkets,new-seasons-market-beaverton-2
healthmarkets,new-seasons-market-happy-valley
healthmarkets,new-seasons-market-hillsboro
healthmarkets,new-seasons-market-lake-oswego
healthmarkets,new-seasons-market-portland
healthmarkets,new-seasons-market-portland-10
healthmarkets,new-seasons-market-portland-12
healthmarkets,new-seasons-market-portland-16
healthmarkets,new-seasons-market-portland-8
